"","date","CC","treatment","si","ph","tmp","mnfe","param","value"
"115",2023-03-22,30,"D","1","-1","1","-1","Apparent Colour",2
"116",2023-03-22,30,"D","1","-1","1","-1","True Colour",2
"117",2023-03-22,5,"E","0","-1","0","0","Apparent Colour",6
"118",2023-03-22,5,"E","0","-1","0","0","True Colour",3
"119",2023-03-22,31,"E","0","-1","0","0","Apparent Colour",13
"120",2023-03-22,31,"E","0","-1","0","0","True Colour",5
"121",2023-03-22,6,"F","-1","-1","-1","1","Apparent Colour",25
"122",2023-03-22,6,"F","-1","-1","-1","1","True Colour",1
"123",2023-03-22,32,"F","-1","-1","-1","1","Apparent Colour",23
"124",2023-03-22,32,"F","-1","-1","-1","1","True Colour",3
"125",2023-03-22,7,"G","1","-1","-1","1","Apparent Colour",19
"126",2023-03-22,7,"G","1","-1","-1","1","True Colour",3
"127",2023-03-22,33,"G","1","-1","-1","1","Apparent Colour",21
"128",2023-03-22,33,"G","1","-1","-1","1","True Colour",4
"129",2023-03-22,8,"H","-1","-1","1","1","Apparent Colour",19
"130",2023-03-22,8,"H","-1","-1","1","1","True Colour",3
"131",2023-03-22,34,"H","-1","-1","1","1","Apparent Colour",22
"132",2023-03-22,34,"H","-1","-1","1","1","True Colour",3
"133",2023-03-22,9,"I","1","-1","1","1","Apparent Colour",20
"134",2023-03-22,9,"I","1","-1","1","1","True Colour",3
"135",2023-03-22,35,"I","1","-1","1","1","Apparent Colour",19
"136",2023-03-22,35,"I","1","-1","1","1","True Colour",4
"137",2023-03-22,10,"J","0","0","0","-1","Apparent Colour",3
"138",2023-03-22,10,"J","0","0","0","-1","True Colour",1
"139",2023-03-22,36,"J","0","0","0","-1","Apparent Colour",3
"140",2023-03-22,36,"J","0","0","0","-1","True Colour",2
"141",2023-03-22,12,"L","1","0","0","0","Apparent Colour",8
"142",2023-03-22,12,"L","1","0","0","0","True Colour",3
"143",2023-03-22,38,"L","1","0","0","0","Apparent Colour",7
"144",2023-03-22,38,"L","1","0","0","0","True Colour",2
"145",2023-03-24,13,"M","-1","0","0","0","Apparent Colour",14
"146",2023-03-24,13,"M","-1","0","0","0","True Colour",3
"147",2023-03-24,39,"M","-1","0","0","0","Apparent Colour",13
"148",2023-03-24,39,"M","-1","0","0","0","True Colour",2
"149",2023-03-24,14,"N","0","0","1","0","Apparent Colour",14
"150",2023-03-24,14,"N","0","0","1","0","True Colour",4
"151",2023-03-24,40,"N","0","0","1","0","Apparent Colour",13
"152",2023-03-24,40,"N","0","0","1","0","True Colour",6
"153",2023-03-24,15,"O","0","0","-1","0","Apparent Colour",19
"154",2023-03-24,15,"O","0","0","-1","0","True Colour",4
"155",2023-03-24,41,"O","0","0","-1","0","Apparent Colour",17
